movieid;title;rate;url;is_new;playable;cover
3390253;凡尔赛宫：国王的梦想;8.1;https://movie.douban.com/subject/3390253/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1971918791.jpg
1306170;巴格达咖啡馆;8.3;https://movie.douban.com/subject/1306170/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2404621085.jpg
1300510;仪式;8.3;https://movie.douban.com/subject/1300510/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2233370651.jpg
1292210;雷恩的女儿;8.2;https://movie.douban.com/subject/1292210/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2265761441.jpg
1432782;黑色的风采;8.6;https://movie.douban.com/subject/1432782/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2376391548.jpg
1422299;毫无线索;8.1;https://movie.douban.com/subject/1422299/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2199983903.jpg
1294681;静静的顿河;8.5;https://movie.douban.com/subject/1294681/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2231786178.jpg
1394491;四月某时;8.1;https://movie.douban.com/subject/1394491/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2203673958.jpg
1306016;玩家马布斯博士;8.7;https://movie.douban.com/subject/1306016/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2188000097.jpg
1424656;干花;8.0;https://movie.douban.com/subject/1424656/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2210788125.jpg
1766571;机动战士高达0083 吉翁的残光;8.9;https://movie.douban.com/subject/1766571/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p454056205.jpg
1420116;葛楚;8.1;https://movie.douban.com/subject/1420116/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2204794048.jpg
1301025;童年过后一百天;8.6;https://movie.douban.com/subject/1301025/;False;False;https://img3.doubanio.com/lpic/s3953425.jpg
